2025-01-27 12:21:17 - {'train-rosette': 'combined', 'train_size': '100%', 'r2': None, 'mse': None, 'pc': None}
2025-01-27 12:29:14 - {'train-rosette': 'combined', 'train_size': '100%', 'r2': None, 'mse': None, 'pc': None}
2025-01-27 13:07:35 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.90104516688403, 'mse': 0.034043908333638455, 'pc': 0.949290354979573}
2025-01-27 13:31:20 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:32:05 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:32:38 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:33:11 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:33:56 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:34:41 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:35:12 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:35:44 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:36:28 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:37:12 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:37:44 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:38:16 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:39:00 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:39:43 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:40:15 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:40:47 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:41:32 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:42:17 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.929556892397996, 'mse': 0.03127882049126756, 'pc': 0.9641446162705412}
2025-01-27 13:42:50 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:43:23 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9344399825859021, 'mse': 0.029811727013114308, 'pc': 0.9667013232939183}
2025-01-27 13:44:08 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:44:51 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:45:24 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9221059091180253, 'mse': 0.03467719020442501, 'pc': 0.9602647299174419}
2025-01-27 13:45:56 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9221059091180253, 'mse': 0.03467719020442501, 'pc': 0.9602647299174419}
2025-01-27 13:46:40 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:47:24 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:47:56 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9221059091180253, 'mse': 0.03467719020442501, 'pc': 0.9602647299174419}
2025-01-27 13:48:28 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9221059091180253, 'mse': 0.03467719020442501, 'pc': 0.9602647299174419}
2025-01-27 13:49:11 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:49:54 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9272660146797982, 'mse': 0.03210193593958224, 'pc': 0.9629504760981604}
2025-01-27 13:50:27 - {'train-rosette': 'combined', 'train_size': '80.0%', 'r2': 0.9221059091180253, 'mse': 0.03467719020442501, 'pc': 0.9602647299174419}
